method	depth	cell_type	f1	count_rep1	count_rep2
seurat	1000	sst GABAergic cortical interneuron	0.9861111111111112	143	145
seurat	1000	vascular leptomeningeal cell	1.0	3	3
seurat	1000	vip GABAergic cortical interneuron	0.9765886287625418	150	149
seurat	5000	L2/3-6 intratelencephalic projecting glutamatergic neuron	0.990228013029316	155	152
seurat	5000	L5 extratelencephalic projecting glutamatergic cortical neuron	0.989247311827957	46	47
seurat	5000	L6 corticothalamic-projecting glutamatergic cortical neuron	0.962457337883959	145	148
seurat	5000	L6b glutamatergic cortical neuron	0.964401294498382	156	153
seurat	5000	astrocyte	0.9932432432432432	147	149
seurat	5000	caudal ganglionic eminence derived GABAergic cortical interneuron	1.0	99	99
seurat	5000	endothelial cell	1.0	21	21
seurat	5000	lamp5 GABAergic cortical interneuron	0.9899665551839464	149	150
seurat	5000	microglial cell	1.0	150	150
seurat	5000	near-projecting glutamatergic cortical neuron	0.9966555183946488	149	150
seurat	5000	oligodendrocyte	0.9932885906040269	149	149
seurat	5000	oligodendrocyte precursor cell	0.9966777408637874	150	151
seurat	5000	pericyte	1.0	10	10
seurat	5000	pvalb GABAergic cortical interneuron	0.9935064935064936	153	155
seurat	5000	sst GABAergic cortical interneuron	0.9896907216494846	147	144
seurat	5000	vascular leptomeningeal cell	1.0	3	3
seurat	5000	vip GABAergic cortical interneuron	0.9932885906040269	150	148
seurat	10000	L2/3-6 intratelencephalic projecting glutamatergic neuron	0.990228013029316	155	152
seurat	10000	L5 extratelencephalic projecting glutamatergic cortical neuron	1.0	46	46
seurat	10000	L6 corticothalamic-projecting glutamatergic cortical neuron	0.9586206896551724	149	141
seurat	10000	L6b glutamatergic cortical neuron	0.9584664536741214	152	161
seurat	10000	astrocyte	1.0	148	148
seurat	10000	caudal ganglionic eminence derived GABAergic cortical interneuron	1.0	98	98
seurat	10000	endothelial cell	1.0	21	21
seurat	10000	lamp5 GABAergic cortical interneuron	1.0	149	149
seurat	10000	microglial cell	1.0	150	150
seurat	10000	near-projecting glutamatergic cortical neuron	1.0	149	149
seurat	10000	oligodendrocyte	1.0	149	149
seurat	10000	oligodendrocyte precursor cell	1.0	151	151
seurat	10000	pericyte	1.0	10	10
seurat	10000	pvalb GABAergic cortical interneuron	0.9967845659163987	155	156
seurat	10000	sst GABAergic cortical interneuron	1.0	144	144
seurat	10000	vascular leptomeningeal cell	0.8571428571428571	3	4
seurat	10000	vip GABAergic cortical interneuron	1.0	150	150
seurat	15000	L2/3-6 intratelencephalic projecting glutamatergic neuron	0.990228013029316	154	153
seurat	15000	L5 extratelencephalic projecting glutamatergic cortical neuron	0.989247311827957	47	46
seurat	15000	L6 corticothalamic-projecting glutamatergic cortical neuron	0.9616724738675958	143	144
seurat	15000	L6b glutamatergic cortical neuron	0.9620253164556962	158	158
seurat	15000	astrocyte	1.0	148	148
seurat	15000	caudal ganglionic eminence derived GABAergic cortical interneuron	0.98989898989899	98	100
seurat	15000	endothelial cell	1.0	21	21
seurat	15000	lamp5 GABAergic cortical interneuron	0.9966555183946488	150	149
seurat	15000	microglial cell	1.0	150	150
seurat	15000	near-projecting glutamatergic cortical neuron	0.9966555183946488	149	150
seurat	15000	oligodendrocyte	1.0	149	149
seurat	15000	oligodendrocyte precursor cell	0.9966777408637874	150	151
seurat	15000	pericyte	1.0	10	10
seurat	15000	pvalb GABAergic cortical interneuron	0.99672131147541	153	152
seurat	15000	sst GABAergic cortical interneuron	0.9965870307167236	146	147
seurat	15000	vascular leptomeningeal cell	1.0	3	3
seurat	15000	vip GABAergic cortical interneuron	0.9932885906040269	150	148
seurat	25000	L2/3-6 intratelencephalic projecting glutamatergic neuron	1.0	154	154
seurat	25000	L5 extratelencephalic projecting glutamatergic cortical neuron	1.0	47	47
seurat	25000	L6 corticothalamic-projecting glutamatergic cortical neuron	0.9722222222222222	144	144
seurat	25000	L6b glutamatergic cortical neuron	0.9745222929936306	157	157
seurat	25000	astrocyte	1.0	148	148
seurat	25000	caudal ganglionic eminence derived GABAergic cortical interneuron	0.98989898989899	98	100
seurat	25000	endothelial cell	1.0	21	21
seurat	25000	lamp5 GABAergic cortical interneuron	1.0	150	150
seurat	25000	microglial cell	1.0	150	150
seurat	25000	near-projecting glutamatergic cortical neuron	1.0	149	149
seurat	25000	oligodendrocyte	1.0	149	149
seurat	25000	oligodendrocyte precursor cell	1.0	150	150
seurat	25000	pericyte	1.0	10	10
seurat	25000	pvalb GABAergic cortical interneuron	0.9934640522875816	152	154
seurat	25000	sst GABAergic cortical interneuron	0.9931506849315068	147	145
seurat	25000	vascular leptomeningeal cell	1.0	3	3
seurat	25000	vip GABAergic cortical interneuron	0.9932885906040269	150	148
seurat	50000	L2/3-6 intratelencephalic projecting glutamatergic neuron	0.996742671009772	153	154
seurat	50000	L5 extratelencephalic projecting glutamatergic cortical neuron	1.0	47	47
seurat	50000	L6 corticothalamic-projecting glutamatergic cortical neuron	0.9722222222222222	147	141
seurat	50000	L6b glutamatergic cortical neuron	0.9745222929936306	154	160
seurat	50000	astrocyte	1.0	147	147
seurat	50000	caudal ganglionic eminence derived GABAergic cortical interneuron	1.0	100	100
seurat	50000	endothelial cell	1.0	21	21
seurat	50000	lamp5 GABAergic cortical interneuron	1.0	149	149
seurat	50000	microglial cell	1.0	151	151
seurat	50000	near-projecting glutamatergic cortical neuron	1.0	149	149
seurat	50000	oligodendrocyte	1.0	149	149
seurat	50000	oligodendrocyte precursor cell	1.0	151	151
seurat	50000	pericyte	1.0	10	10
seurat	50000	pvalb GABAergic cortical interneuron	1.0	153	153
seurat	50000	sst GABAergic cortical interneuron	0.9965870307167236	147	146
seurat	50000	vascular leptomeningeal cell	1.0	3	3
seurat	50000	vip GABAergic cortical interneuron	1.0	148	148
seurat	100000	L2/3-6 intratelencephalic projecting glutamatergic neuron	1.0	154	154
seurat	100000	L5 extratelencephalic projecting glutamatergic cortical neuron	1.0	47	47
seurat	100000	L6 corticothalamic-projecting glutamatergic cortical neuron	0.986013986013986	143	143
seurat	100000	L6b glutamatergic cortical neuron	0.9873417721518988	158	158
seurat	100000	astrocyte	1.0	147	147
seurat	100000	caudal ganglionic eminence derived GABAergic cortical interneuron	0.9949748743718592	100	99
seurat	100000	endothelial cell	1.0	21	21
seurat	100000	lamp5 GABAergic cortical interneuron	1.0	149	149
seurat	100000	microglial cell	1.0	151	151
seurat	100000	near-projecting glutamatergic cortical neuron	1.0	149	149
seurat	100000	oligodendrocyte	1.0	149	149
seurat	100000	oligodendrocyte precursor cell	1.0	151	151
seurat	100000	pericyte	1.0	10	10
seurat	100000	pvalb GABAergic cortical interneuron	1.0	153	153
seurat	100000	sst GABAergic cortical interneuron	1.0	146	146
seurat	100000	vascular leptomeningeal cell	1.0	3	3
seurat	100000	vip GABAergic cortical interneuron	0.9966329966329966	148	149
